source_way,target_way
145667118,145667105
145668596,145667646
145667116,145667105
145668590,145667646
145667107,145667105
145668587,145667646
145667099,145667105
145667105,145667103
145667105,145667098
145667105,145667102
145667105,399568508
145667105,145667111
145667105,145667109
145667105,145667104
145667105,145667097
145667105,145667114
145667105,145667122
145667105,145667123
145667105,145667113
145668557,145667103
145668557,145667646
145668567,145667646
399568508,399568507
399568507,145667646
145668577,145667111
145668550,145667646
145667646,692589687
145667646,145668593
145667646,145668583
145667646,145668581
145667646,145668543
145667646,145668563
145667646,145668545
145619309,760753787
145622793,145622799
145622795,145620742
145622792,145622791
145622792,145620763
145622792,145622799
145622791,145620763
710344378,145621637
145621631,145621630
145621630,145621637
145621632,145621637
145621632,145621639
145621637,145621634
145621637,456687497
145621637,145663579
145621639,145621633
456687497,145663579
145717441,145681451
881672584,145717443
518094738,145659906
518094738,145782969
518094738,518094736
518094738,145782972
520458163,520458162
146797791,145707853
145668561,145668584
145667220,145668593
145667220,145668589
145668593,145668545
145668589,145668533
145668589,145668570
692589687,780731160
145668569,145667227
145668569,145668584
624686569,624686568
145707853,145707884
145707884,145707900
222417501,780731160
145760191,145760231
145760191,782373478
145760231,408576538
408576538,408576539
146180032,146180033
146180032,146180030
420445769,146390547
145891731,145891715
484866179,484866180
146026375,146028183
146026335,146026356
146026335,146026392
146026394,146026356
146026394,146026392
146026356,146028183
146026356,146026392
146028183,146026376
146028183,146026377
146028183,146026379
146026396,146026355
146026396,146026392
146026355,146026353
146026355,146026354
146026376,146026392
146026392,146026377
146026377,146026378
146026357,146026379
146036661,146036663
146036663,146036705
146036663,146036701
146036663,146036703
146036663,146036702
146036705,146036708
146036703,146036702
146036703,146036708
146036703,146036665
146036708,146036701
146036708,146036699
146036708,146036706
146036701,146036699
744526326,884177612
367400166,677198365
624696004,624696005
624696005,624696006
624696007,624696008
624696008,624696006
673393764,673393765
673393764,420454181
673393765,420454183
673393765,420454184
673393765,420454185
673393765,420454182
321808980,677198365
362550363,362550408
362550408,782610299
482977105,402565605
482977105,402565604
482977105,482977106
483135724,483135726
543213916,882716486
543213916,882716485
543213916,882716484
543213916,882716483
543213922,543213923
543218609,543218608
543218608,872136052
628708539,628708540
